사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
Dec-19,2호선,236,영등포구청,42,2,6082,2814,12943,12948,42632,32031,52831,124534,34566,57347,27611,30486,29669,29070,31503,30015,33808,32073,34445,31377,35196,32411,41093,36049,57749,43732,106583,61980,41171,44644,32250,27306,33103,25945,26562,24863,11864,18799,2090,7132,37,491,0,6,0,0
Dec-19,2호선,237,당산,35,6,6513,3795,17519,14892,48073,29454,65705,89747,41827,44768,31596,24927,30411,25153,30884,26562,30606,28626,28736,29391,30219,32203,35062,38964,49877,51391,71660,78543,36263,59849,25729,39235,26014,40488,23490,40691,12410,29117,1924,8025,35,619,1,10,0,0
Dec-19,2호선,238,합정,170,1,10024,3134,18402,17439,44508,35488,60495,102929,41729,79204,34349,53068,36900,52621,42118,58606,47522,66617,50520,63620,56065,62751,67457,73949,86424,93303,124125,131016,81261,102918,66884,53414,84307,43127,85670,39089,46793,28913,7916,10758,359,1112,1,14,0,0
Dec-19,2호선,239,홍대입구,1721,41,40987,4327,37173,22288,70091,39702,90857,117817,75332,143155,74223,118284,88224,142971,98299,178713,110934,203956,122008,201760,146438,201900,177999,216787,211593,250863,237558,305922,198816,248519,194761,145570,234798,115587,264502,96495,149726,72458,20799,28023,578,5544,5,155,0,0
Dec-19,2호선,240,신촌,139,5,12272,3704,16048,16472,38020,37077,58328,93802,45616,118390,47141,87483,56377,84330,73833,93928,80266,101608,84768,95698,95978,90652,113770,98561,131665,118168,131681,159342,100443,117810,105414,65585,112436,53494,120843,49760,65384,36427,10965,12140,262,1541,7,24,0,0
Dec-19,2호선,241,이대,44,2,3214,2066,6471,16260,17971,17650,26771,43550,19513,54786,17666,48914,23376,38832,36026,46729,38230,45569,37491,38013,46596,39194,59650,38048,67363,37667,52915,42266,36595,31900,31473,20308,32192,18625,25033,19653,10002,15498,1323,4776,24,559,0,39,0,0
Dec-19,2호선,242,아현,40,2,4442,1120,9739,7610,26397,12342,39426,22517,25193,14695,19202,13178,19213,11362,21424,13917,21827,15133,18642,15715,19762,17437,22577,20363,24708,24473,23211,31795,13781,27209,9889,19258,8333,18580,6224,19076,2862,14084,585,4162,17,269,0,23,0,0
Dec-19,2호선,243,충정로(경기대입구),28,2,3613,972,6937,5875,16847,16302,25185,70126,17406,35449,13908,17469,15735,14073,16242,13774,17521,16654,17675,15660,17956,15906,21194,17304,28087,20163,56043,26075,19164,19587,13333,12912,13584,14041,10019,13403,4731,9635,891,3343,21,344,0,36,0,0
Dec-19,2호선,244,용답,1,0,2636,231,3151,880,8033,1586,13433,3719,7116,3965,4882,3316,4556,2792,4933,3234,5305,3669,4780,3776,4558,5040,4967,6169,5185,6821,4422,10774,2702,7947,2140,5198,1537,6224,1249,5926,653,4304,156,1409,4,64,0,0,0,0
Dec-19,2호선,245,신답,1,0,964,78,1772,607,6599,1051,11397,1936,4538,1054,2669,1116,2511,1251,2440,1567,2540,1753,2092,2105,1966,2953,2183,3718,2432,4423,2330,8948,1330,7322,849,3620,666,4188,565,3270,233,2846,42,799,4,21,0,0,0,0
